Wavelength (nm),CdTe-EQE (%)
8.70E+02,2.05E+00
8.65E+02,5.33E+00
8.61E+02,9.22E+00
8.58E+02,1.29E+01
8.54E+02,1.62E+01
8.49E+02,2.01E+01
8.49E+02,2.36E+01
8.48E+02,2.75E+01
8.45E+02,3.16E+01
8.44E+02,3.44E+01
8.42E+02,3.83E+01
8.39E+02,4.22E+01
8.37E+02,4.63E+01
8.37E+02,4.98E+01
8.34E+02,5.37E+01
8.33E+02,5.74E+01
8.33E+02,6.09E+01
8.31E+02,6.45E+01
8.30E+02,6.78E+01
8.29E+02,7.19E+01
8.26E+02,7.56E+01
8.25E+02,7.91E+01
8.23E+02,8.32E+01
8.22E+02,8.69E+01
8.21E+02,9.00E+01
8.02E+02,9.24E+01
7.87E+02,9.39E+01
7.77E+02,9.57E+01
7.63E+02,9.71E+01
7.48E+02,9.88E+01
7.19E+02,9.94E+01
7.07E+02,9.88E+01
6.83E+02,9.90E+01
6.59E+02,9.90E+01
6.41E+02,9.96E+01
6.25E+02,9.88E+01
6.05E+02,9.80E+01
5.89E+02,9.69E+01
5.68E+02,9.59E+01
5.48E+02,9.55E+01
5.24E+02,9.57E+01
5.10E+02,9.34E+01
4.94E+02,9.24E+01
4.75E+02,9.16E+01
4.59E+02,9.04E+01
4.46E+02,8.83E+01
4.34E+02,8.59E+01
4.24E+02,8.34E+01
4.15E+02,8.09E+01
4.07E+02,7.81E+01
4.00E+02,7.48E+01
3.95E+02,7.17E+01
3.92E+02,6.80E+01
3.88E+02,6.39E+01
3.84E+02,6.13E+01
3.82E+02,5.78E+01
3.79E+02,5.51E+01
3.76E+02,5.29E+01
3.74E+02,4.96E+01
3.70E+02,4.63E+01
3.67E+02,4.22E+01
3.64E+02,3.85E+01
3.60E+02,3.48E+01
3.56E+02,3.14E+01
3.54E+02,2.68E+01
3.51E+02,2.38E+01
3.47E+02,2.03E+01
3.43E+02,1.68E+01
3.39E+02,1.29E+01
3.32E+02,9.63E+00
3.27E+02,6.56E+00
3.20E+02,3.48E+00
3.07E+02,1.84E+00
