Wavelength (nm),PSC-EQE (%)
7.07E+02,4.10E-01
6.87E+02,4.10E-01
6.59E+02,1.23E+00
6.51E+02,2.05E+00
6.36E+02,4.10E+00
6.20E+02,6.56E+00
6.08E+02,8.20E+00
5.96E+02,1.60E+01
5.92E+02,1.97E+01
5.80E+02,3.07E+01
5.64E+02,4.14E+01
5.53E+02,4.63E+01
5.37E+02,4.84E+01
5.17E+02,4.96E+01
5.01E+02,5.08E+01
4.82E+02,5.20E+01
4.66E+02,5.37E+01
4.54E+02,5.57E+01
4.38E+02,5.78E+01
4.26E+02,6.02E+01
4.11E+02,6.27E+01
3.79E+02,6.72E+01
3.67E+02,6.97E+01
3.39E+02,7.42E+01
3.12E+02,7.87E+01
2.80E+02,8.28E+01
2.53E+02,8.52E+01
2.29E+02,8.65E+01
1.97E+02,8.77E+01
1.62E+02,8.77E+01
1.34E+02,8.65E+01
9.47E+01,8.36E+01
6.32E+01,8.24E+01
4.74E+01,8.11E+01
3.16E+01,7.95E+01
2.76E+01,7.83E+01
2.37E+01,7.62E+01
1.97E+01,7.38E+01
1.58E+01,7.09E+01
1.18E+01,6.84E+01
7.89E+00,6.68E+01
