Wavelength (nm),t-Si-EQE (%)
1.20E+03,1.23E+00
1.20E+03,3.48E+00
1.19E+03,5.94E+00
1.18E+03,1.15E+01
1.17E+03,1.56E+01
1.16E+03,2.01E+01
1.16E+03,2.42E+01
1.15E+03,2.93E+01
1.15E+03,3.30E+01
1.14E+03,3.69E+01
1.14E+03,3.98E+01
1.13E+03,4.45E+01
1.13E+03,5.00E+01
1.12E+03,5.51E+01
1.12E+03,5.90E+01
1.11E+03,6.48E+01
1.10E+03,7.07E+01
1.10E+03,7.48E+01
1.09E+03,7.85E+01
1.08E+03,8.20E+01
1.07E+03,8.65E+01
1.04E+03,9.12E+01
1.02E+03,9.49E+01
9.93E+02,9.59E+01
9.77E+02,9.69E+01
9.56E+02,9.69E+01
9.31E+02,9.69E+01
9.17E+02,9.80E+01
9.05E+02,9.92E+01
8.89E+02,9.98E+01
8.78E+02,9.92E+01
8.68E+02,9.84E+01
8.56E+02,9.80E+01
8.44E+02,9.90E+01
8.29E+02,9.90E+01
8.02E+02,9.90E+01
7.89E+02,9.96E+01
7.73E+02,9.96E+01
7.55E+02,9.90E+01
7.31E+02,9.90E+01
7.12E+02,9.90E+01
6.99E+02,9.90E+01
6.73E+02,9.88E+01
6.44E+02,9.90E+01
6.31E+02,9.84E+01
6.19E+02,9.84E+01
5.90E+02,9.80E+01
5.72E+02,9.80E+01
5.52E+02,9.80E+01
5.30E+02,9.77E+01
5.28E+02,9.69E+01
5.12E+02,9.69E+01
4.97E+02,9.61E+01
4.79E+02,9.59E+01
4.62E+02,9.61E+01
4.54E+02,9.49E+01
4.33E+02,9.51E+01
4.18E+02,9.49E+01
4.11E+02,9.32E+01
4.02E+02,9.12E+01
3.95E+02,8.77E+01
3.87E+02,8.34E+01
3.80E+02,7.87E+01
3.76E+02,7.42E+01
3.74E+02,7.03E+01
3.63E+02,6.02E+01
3.59E+02,5.27E+01
3.48E+02,4.71E+01
3.43E+02,4.16E+01
3.32E+02,3.91E+01
3.21E+02,3.67E+01
3.15E+02,3.44E+01
3.09E+02,3.26E+01
3.01E+02,3.03E+01
